date(f_date_time)	substr(dayname(f_date_time),1,2)	f_action_id	f_lang_id	f_ns_id	count(*)
2013-01-24	Th	0	DE	0	13
2013-01-24	Th	0	EN	0	27
2013-01-24	Th	0	EN	2	2
2013-01-24	Th	0	EN	3	1
2013-01-24	Th	0	EN	5	1
2013-01-24	Th	0	ES	0	1
2013-01-24	Th	0	FR	0	1
2013-01-24	Th	0	IT	0	2
2013-01-24	Th	0	JA	0	14
2013-01-24	Th	0	NL	0	4
2013-01-24	Th	0	RU	0	10
2013-01-24	Th	1	DE	2	1
2013-01-24	Th	1	EN	0	9
2013-01-24	Th	1	ES	0	1
2013-01-24	Th	1	FR	0	2
2013-01-24	Th	1	NL	0	1
2013-01-24	Th	1	RU	0	1
2013-01-24	Th	3	DE	5	1
2013-01-24	Th	3	EN	0	2
2013-01-24	Th	3	EN	5	4
2013-01-24	Th	3	FR	0	1
2013-01-24	Th	3	JA	5	5
2013-01-24	Th	3	PT	0	2
2013-01-24	Th	3	RU	5	1
2013-01-24	Th	4	DE	0	39
2013-01-24	Th	4	DE	5	23
2013-01-24	Th	4	EN	0	161
2013-01-24	Th	4	EN	5	98
2013-01-24	Th	4	ES	0	13
2013-01-24	Th	4	ES	5	4
2013-01-24	Th	4	FR	0	15
2013-01-24	Th	4	IT	0	2
2013-01-24	Th	4	JA	0	23
2013-01-24	Th	4	JA	5	5
2013-01-24	Th	4	NL	0	4
2013-01-24	Th	4	NL	5	1
2013-01-24	Th	4	PL	0	4
2013-01-24	Th	4	PL	5	3
2013-01-24	Th	4	PT	0	4
2013-01-24	Th	4	RU	0	28
2013-01-24	Th	4	RU	5	4
