date(f_date_time)	substr(dayname(f_date_time),1,2)	f_action_id	f_lang_id	f_ns_id	count(*)
2012-06-14	Th	0	DE	0	1
2012-06-14	Th	0	EN	0	1
2012-06-14	Th	0	EN	2	1
2012-06-14	Th	0	EN	3	1
2012-06-14	Th	0	IT	0	1
2012-06-14	Th	0	JA	0	4
2012-06-14	Th	0	RU	0	2
2012-06-14	Th	1	DE	2	1
2012-06-14	Th	1	JA	0	1
2012-06-14	Th	3	EN	5	2
2012-06-14	Th	3	JA	5	1
2012-06-14	Th	4	DE	0	4
2012-06-14	Th	4	DE	5	3
2012-06-14	Th	4	EN	0	17
2012-06-14	Th	4	EN	5	18
2012-06-14	Th	4	ES	0	2
2012-06-14	Th	4	FR	0	1
2012-06-14	Th	4	IT	0	1
2012-06-14	Th	4	JA	0	4
2012-06-14	Th	4	JA	5	1
2012-06-14	Th	4	RU	0	4
