date(f_date_time)	substr(dayname(f_date_time),1,2)	f_lang_id	f_ns_id	count(*)
2013-01-24	Th	DE	0	543
2013-01-24	Th	DE	2	1
2013-01-24	Th	DE	3	1
2013-01-24	Th	DE	4	1
2013-01-24	Th	DE	5	14
2013-01-24	Th	EN	0	4268
2013-01-24	Th	EN	2	9
2013-01-24	Th	EN	3	13
2013-01-24	Th	EN	4	3
2013-01-24	Th	EN	5	200
2013-01-24	Th	ES	0	326
2013-01-24	Th	ES	2	5
2013-01-24	Th	ES	5	12
2013-01-24	Th	FR	0	246
2013-01-24	Th	FR	3	2
2013-01-24	Th	IT	0	145
2013-01-24	Th	IT	5	2
2013-01-24	Th	JA	0	1124
2013-01-24	Th	JA	2	1
2013-01-24	Th	JA	5	31
2013-01-24	Th	NL	0	77
2013-01-24	Th	NL	4	1
2013-01-24	Th	PL	0	209
2013-01-24	Th	PL	2	1
2013-01-24	Th	PL	5	8
2013-01-24	Th	PT	0	61
2013-01-24	Th	PT	2	2
2013-01-24	Th	PT	5	2
2013-01-24	Th	RU	0	513
2013-01-24	Th	RU	2	3
2013-01-24	Th	RU	5	9
